,Unnamed: 0,Unnamed: 0.1,Name_lap,Url,Name_clean,Price,Summary,CPU,RAM,Hardware,Card,Screen,lap_top_id,First_label
85,85,85,[Mới 100% Full Box] Laptop Lenovo Legion 5 15ARH05 82B500FXVN - AMD Ryzen 5,moi-100-full-box-laptop-lenovo-legion-5-15arh05-82b500fxvn-amd-ryzen-5/p5586.html,lenovo legion 5 15arh05 82b500fxvn,21990000,Cấu hình khỏe R5-4600H GTX 1650 8GB RAM SSD 512GB NVMe ,AMD Ryzen 5 4600H,RAM 8GB DDR4,SSD 512GB NVMe,Card rời GTX 1650 4GB,15.6 Inch Full HD 144Hz 100% sRGB IPS,laptop_85,màn_hình 300 nits 144hz 100 % srgb - lý_tưởng cho cả game và đồ_họa
86,86,86,[Mới 100% Full box] Laptop LG Gram 2020 14ZD90N-V.AX55A5 - Hàng chính hãng,moi-100-full-box-laptop-lg-gram-2020-14zd90n-v.ax55a5-hang-chinh-hang/p5123.html,lg gram 2020 14zd90n,25490000,,Intel Core i5 -1035G7,RAM 8GB DDR4,SSD 512GB NVMe,Card onboard Intel® Iris® Plus Graphics,14 Inch Full HD,laptop_86,
87,87,87,[Mới 100% Full Box] Laptop Acer Aspire 7 A715-42G-R4ST - AMD Ryzen 5,moi-100-full-box-laptop-acer-aspire-7-a715-42g-r4st-amd-ryzen-5.html,acer aspire 7 a715,17990000,Chip Ryzen 5 đời 5 card rời GTX 1650 4GB Bảo hành 12 tháng chính hãng Acer ,AMD Ryzen 5 5500U,RAM 8GB DDR4,SSD 256GB NVMe,Card rời GTX 1650 4GB,15.6 Inch Full HD,laptop_87,gaming giá rẻ cấu_hình tốt
88,88,88,[Mới 100% Full Box] Laptop Dell Latitude 3510 70233210 - Intel Core i3,moi-100-full-box-laptop-dell-latitude-3510-70233210-intel-core-i3.html,dell latitude 3510 70233210,10490000,Chip Intel đời 10 sẵn SSD Bảo hành 12 tháng chính hãng Dell ,Intel Core i3 10110U,RAM 4GB DDR4,HDD 1TB,Card Intel UHD Graphics,15 Inch HD,laptop_88,văn_phòng giá rẻ
89,89,89,[Mới 100% Full Box] Laptop Lenovo Ideapad Gaming L340-15IRH 81LK01J3VN - Intel Core i5,moi-100-full-box-laptop-lenovo-ideapad-gaming-l340-15irh-81lk01j3vn-intel-core-i5.html,lenovo ideapad gaming l340,17290000,Card rời GTX 1650 4GB Chip Intel Core i5 9300HF ,Intel Core i5 9300HF,RAM 8GB DDR4,SSD 512GB NVMe,Card rời GTX 1650 4GB,15.6 Inch Full HD,laptop_89,gaming giá rẻ
90,90,90,[Mới 100% Full Box] Laptop HP Pavilion 14-dv0009TU 2D7A7PA - Intel Core i5,moi-100-full-box-laptop-hp-pavilion-14-dv0009tu-2d7a7pa-intel-core-i5.html,hp pavilion 14,17290000,Chip i5 đời 11 màn hình Full HD Bảo hành 12 tháng chính hãng HP ,Intel Core i5 1135G7,RAM 8GB DDR4,SSD 512GB NVMe,Card Intel® Iris Xe Graphics,14 Inch Full HD,laptop_90,văn_phòng mỏng nhẹ sang_trọng
91,91,91,[Mới 100% Full Box] Laptop HP Pavilion 14-dv0008TU 2D7A5PA - Intel Core i5,moi-100-full-box-laptop-hp-pavilion-14-dv0008tu-2d7a5pa-intel-core-i5.html,hp pavilion 14,17290000,Chip i5 đời 11 màn hình Full HD Bảo hành 12 tháng chính hãng HP ,Intel Core i5 1135G7,RAM 8GB DDR4,SSD 512GB NVMe,Card Intel® Iris Xe Graphics,14 Inch Full HD,laptop_91,văn_phòng mỏng nhẹ sang_trọng
92,92,92,[Mới 100% Full Box] Laptop Dell Vostro 3405 V4R33250U501W - AMD Ryzen 3,moi-100-full-box-laptop-dell-vostro-3405-v4r33250u501w-amd-ryzen-3/p5823.html,dell vostro 3405 v4r33250u501w,9490000,Chip AMD Ryzen 3 Radeon Vega 3 Chơi được game nhẹ làm PTS mượt Bảo hành 12 tháng chính hãng Dell ,AMD Ryzen 3 3250U,RAM 4GB DDR4,HDD 1TB,Card AMD Radeon Vega 3,14 Inch HD,laptop_92,văn_phòng giá rẻ
93,93,93,[Mới 100% Full Box] Laptop Dell G3 15 3500 P89F002 - Intel Core i5,moi-100-full-box-laptop-dell-g3-15-3500-p89f002-intel-core-i5/p6055.html,dell g3 15 3500 p89f002,19990000, Card rời GTX 1650 4GB màn hình 120Hz  Bảo hành 12 tháng  ,Intel Core i5 10300H,RAM 8GB DDR4,SSD 256GB NVMe,Card rời GTX 1650 4GB,15.6 Inch Full HD 120Hz,laptop_93,gaming
94,94,94,[Mới 100% Full Box] Laptop HP 250 G7 258M8PA - Intel Core i5,moi-100-full-box-laptop-hp-250-g7-258m8pa-intel-core-i5/p5882.html,hp 250 g7 258m8pa,13290000,Nhiều cổng kết nối đa dạng Bảo hành 12 tháng chính hãng HP ,Intel Core i5 1035G1,RAM 4GB DDR4,SSD 256GB NVMe,Card Intel UHD Graphics,15.6 Inch Full HD,laptop_94,chip intel i5 đời 10 màn_hình full hd
95,95,95,[Mới 100% Full Box] Laptop Asus TUF A15 FA506II-AL016T - AMD Ryzen 7,moi-100-full-box-laptop-asus-tuf-a15-fa506ii-al016t-amd-ryzen-7/p5247.html,asus tuf a15 fa506ii,22990000,Chip AMD Ryzen 7 Card rời GTX1650Ti 4GB Màn hình 144Hz ,AMD Ryzen 7 4800H,RAM 8GB DDR4,SSD 512GB NVMe,Card rời GTX 1650Ti 4GB,15.6 Inch Full HD 144Hz,laptop_95,chính hãng cấu_hình mạnh_mẽ
96,96,96,[Mới 100% Full box] Laptop MSI Bravo 15 A4DCR 270VN - AMD Ryzen 5,moi-100-full-box-laptop-msi-bravo-15-a4dcr-270vn-amd-ryzen-5/p5212.html,msi bravo 15 a4dcr 270vn,18490000, MÀN 144HZ quẩy game siêu đã chip Ryzen đời 4 card rời RX5300M 3GB ,AMD Ryzen 5 4600H,RAM 8GB DDR4,SSD 256GB NVMe,Card rời RX5300M 3GB GDDR6,15.6 Inch Full HD 144Hz,laptop_96,gaming amd cấu_hình cao_giá rẻ
97,97,97,[Mới 100% Full Box] Laptop Lenovo Legion 5 15ARH05H 82B10051US - AMD Ryzen 7,moi-100-full-box-laptop-lenovo-legion-5-15arh05h-82b10051us-amd-ryzen-7.html,lenovo legion 5 15arh05h 82b10051us,15000000,Cấu hình cao R7-4800H GTX 1660Ti 16GB RAM SSD 256GB NVMe ,AMD Ryzen 7 - 4800H,RAM 16GB DDR4 (2x8GB),SSD 256GB NVMe,Card rời Nvidia GTX 1660Ti,15.6 Inch Full HD IPS 144Hz 100% sRGB,laptop_97,màn_hình 300 nits 144hz 100 % srgb - lý_tưởng cho cả game và đồ_họa
